[602.88496937] [614.77]
[604.4769653] [635.01]
[622.98231283] [635.96]
[635.74349645] [634.02]
[633.55860619] [637.94]
[634.09597118] [641.42]
[643.448897] [638.97]
[641.22996603] [636.29]
[643.27107404] [629.25]
[637.85235405] [627.72]
[628.67274342] [631.92]
[631.77917917] [655.48]
[641.27227787] [653.25]
[639.72857622] [651.39]
[634.75032374] [655.31]
[656.67361564] [651.45]
[656.14757817] [682.22]
[657.5886108] [687.68]
[645.41986063] [685.91]
[650.88924436] [698.]
[660.86767411] [702.]
[653.61499901] [697.01]
[669.45501147] [733.33]
[662.67952573] [686.17]
[661.07510176] [683.69]
[673.58769379] [704.79]
[674.11146018] [712.]
[687.57565026] [709.96]
[669.10939215] [708.97]
[677.96352626] [720.93]
[678.45938573] [721.5]
[683.36924668] [715.45]
[789.28695564] [703.71]
[750.42619218] [702.28]
[749.3581611] [706.46]
[765.76961598] [710.91]
[751.43686863] [711.73]
[731.43555379] [736.96]
[764.11371447] [747.52]
[774.02691032] [748.98]
[776.0258967] [729.06]
[783.39813665] [738.53]
[767.11966713] [736.97]
[785.60037138] [741.63]
[773.39278743] [737.45]
[791.68633418] [735.64]
[786.49781498] [733.67]
[797.57055659] [727.96]
[794.10841584] [727.31]
[795.63522577] [732.71]
[808.2315385] [742.69]
[802.34675483] [742.05]
[792.7483297] [772.43]
[788.00776181] [764.33]
[803.50402697] [762.97]
[808.35943127] [754.63]
[804.66559118] [756.62]
[804.37330569] [758.99]
[816.62471621] [769.72]
[818.0307008] [770.02]
[811.41723253] [769.08]
[806.22702534] [777.]
[813.13642395] [777.]
[809.42699842] [777.99]
[812.19716286] [774.89]
[787.41574366] [776.75]
[784.34094986] [775.88]
[805.51240479] [788.7]
[797.22713738] [788.4]
[799.29820578] [788.67]
[804.36797713] [793.09]
[808.83096372] [824.21]
[807.31130566] [834.97]
[813.50276637] [901.31]
[818.3225563] [891.61]
[825.27554687] [892.6]
[815.74259297] [897.33]
[812.24615984] [930.37]
[830.91947722] [930.34]
[841.73055555] [963.38]
[842.67956584] [952.15]
[867.00263091] [958.12]
[880.0776026] [997.72]
[889.35644298] [1015.97]
[903.50056494] [1013.42]
[912.23358376] [1126.76]
[944.32060332] [994.67]
[939.67824579] [999.65]
[959.54905353] [896.83]
[955.8331586] [908.14]
[991.02158654] [910.49]
[983.98333633] [906.05]
[992.50500799] [785.22]
[974.08797397] [780.92]
[982.00242218] [826.29]
[965.47086886] [817.91]
[885.00383931] [819.55]
[915.73598042] [830.5]
[907.57867581] [903.84]
[883.87255816] [906.6]
[903.79974712] [895.798875]
[906.60778168] [893.6210875]
[963.58065622] [895.64]
[945.61588201] [918.603625]
[944.71095257] [922.0736125]
[937.41521591] [919.97]
[959.24930674] [893.045625]
[950.12880956] [915.95625]
[988.70524994] [915.05]
[982.44565293] [920.31225]
[989.45446658] [915.933]
[997.78172856] [912.19]
[1010.11145841] [964.706075]
[1003.2637016] [979.703875]
[1106.7363417] [983.42]
[1000.55849865] [1013.027]
[1013.75002561] [1030.999413]
[958.74922835] [1034.07]
[951.28467414] [1024.01375]
[986.03934602] [1050.11]
[972.93309427] [1052.84]
[920.86759445] [976.103]
[914.9539737] [999.1035]
[946.83261945] [997.59]
[938.14565841] [1000.604625]
[938.11118004] [999.877375]
[947.96010697] [1001.2]
[1003.48760233] [1012.325988]
[984.86477551] [1035.208125]
[997.19535992] [1035.2]
[985.15521562] [1056.637138]
[984.53564987] [1052.779286]
[998.00506403] [1050.87]
[1019.32807053] [1123.788429]
[1013.23994967] [1123.223188]
[993.7410382] [1130.01]
[1005.79567694] [1174.86625]
[1008.93443753] [1150.605714]
[1030.14972166] [1150.37]
[1021.0023797] [1190.75195]
[1018.71874061] [1187.565286]
[1069.00143653] [1190.89]
